Date,Close
2017-11-28,81.67
2017-11-29,82.27
2017-11-30,83.29
2017-12-01,83.46
2017-12-04,83.57
2017-12-05,82.89
2017-12-06,82.28
2017-12-07,82.55
2017-12-08,82.66
2017-12-11,83.03
2017-12-12,82.76
2017-12-13,83.12
2017-12-14,82.9
2017-12-15,83.03
2017-12-18,82.94
2017-12-19,82.44
2017-12-20,82.87
2017-12-21,83.85
2017-12-22,83.97
2017-12-26,83.98
2017-12-27,83.9
2017-12-28,84.02
2017-12-29,83.64
2018-01-02,85.03
2018-01-03,86.7
2018-01-04,86.82
2018-01-05,86.75
2018-01-08,87.14
2018-01-09,86.77
2018-01-10,86.08
2018-01-11,86.93
2018-01-12,87.52
2018-01-16,86.97
2018-01-17,88
2018-01-18,87.43
2018-01-19,87.15
2018-01-22,88.25
2018-01-23,88.3
2018-01-24,88.53
2018-01-25,88.37
2018-01-26,89
2018-01-29,88.01
2018-01-30,86.78
2018-01-31,87.3
2018-02-01,89.07
2018-02-02,84.53
2018-02-05,79.72
2018-02-06,78.35
2018-02-07,76.94
2018-02-08,76.07
2018-02-09,75.78
2018-02-12,76.42
2018-02-13,76.3
2018-02-14,76.46
2018-02-15,76.21
2018-02-16,76.54
2018-02-20,75.75
2018-02-21,74.89
2018-02-22,75.86
2018-02-23,77.53
2018-02-26,78.84
2018-02-27,77.5
2018-02-28,75.74
2018-03-01,75.2
2018-03-02,75.55
2018-03-05,76.27
2018-03-06,76.18
2018-03-07,74.26
2018-03-08,74.12
2018-03-09,74.56
2018-03-12,75.24
2018-03-13,74.53
2018-03-14,73.6
2018-03-15,74.42
2018-03-16,75.12
2018-03-19,74.15
2018-03-20,73.99
2018-03-21,75.04
2018-03-22,73.5
2018-03-23,72.89
2018-03-26,74
2018-03-27,73.7
2018-03-28,72.81
2018-03-29,74.61
2018-04-02,73.22
2018-04-03,75.02
2018-04-04,74.87
2018-04-05,76.02
2018-04-06,74.87
2018-04-09,74.87
2018-04-10,77.07
2018-04-11,77.43
2018-04-12,77.22
2018-04-13,77.84
2018-04-16,78.54
2018-04-17,78.33
2018-04-18,79.22
2018-04-19,79.42
2018-04-20,79
2018-04-23,79.57
2018-04-24,78.35
2018-04-25,79.5
2018-04-26,80.86
2018-04-27,77.79
2018-04-30,77.75
2018-05-01,76.95
2018-05-02,76.8
2018-05-03,76.54
2018-05-04,76.9
2018-05-07,77.74
2018-05-08,78.09
2018-05-09,79.93
2018-05-10,81.72
2018-05-11,81.28
2018-05-14,81.83
2018-05-15,81.79
2018-05-16,82.02
2018-05-17,81.88
2018-05-18,81.3
2018-05-21,82.28
2018-05-22,81.64
2018-05-23,82.15
2018-05-24,80.27
2018-05-25,78.71
2018-05-29,78.42
2018-05-30,81.5
2018-05-31,81.24
2018-06-01,81.83
2018-06-04,80.97
2018-06-05,80.68
2018-06-06,82.06
2018-06-07,82.88
2018-06-08,83.6
2018-06-11,83.1
2018-06-12,82.42
2018-06-13,81.51
2018-06-14,81.89
2018-06-15,80.66
2018-06-18,80.82
2018-06-19,80.7
2018-06-20,80.45
2018-06-21,79.69
2018-06-22,81.38
2018-06-25,79.74
2018-06-26,80.64
2018-06-27,81.71
2018-06-28,81.97
2018-06-29,82.73
2018-07-02,81.76
2018-07-03,82.24
2018-07-05,82.31
2018-07-06,82.33
2018-07-09,82.9
2018-07-10,83.66
2018-07-11,82.59
2018-07-12,82.69
2018-07-13,83.31
2018-07-16,82.49
2018-07-17,82.31
2018-07-18,82.22
2018-07-19,82.01
2018-07-20,81.4
2018-07-23,81.4
2018-07-24,83.01
2018-07-25,83.59
2018-07-26,84.24
2018-07-27,81.92
2018-07-30,81.74
2018-07-31,81.51
2018-08-01,80.39
2018-08-02,79.91
2018-08-03,80.2
2018-08-06,80.18
2018-08-07,81.27
2018-08-08,80.73
2018-08-09,80.32
2018-08-10,79.42
2018-08-13,78.56
2018-08-14,78.31
2018-08-15,76.94
2018-08-16,78
2018-08-17,78.26
2018-08-20,78.81
2018-08-21,78.83
2018-08-22,79.96
2018-08-23,79.08
2018-08-24,79.62
2018-08-27,80.4
2018-08-28,80.28
2018-08-29,80.86
2018-08-30,80.51
2018-08-31,80.17
2018-09-04,80.29
2018-09-05,81.36
2018-09-06,80.46
2018-09-07,81.83
2018-09-10,81.71
2018-09-11,82.86
2018-09-12,83.13
2018-09-13,82.32
2018-09-14,82.92
2018-09-17,83.41
2018-09-18,83.63
2018-09-19,84.63
2018-09-20,84.82
2018-09-21,85.17
2018-09-24,86.6
2018-09-25,86.5
2018-09-26,85.78
2018-09-27,85.77
2018-09-28,85.02
2018-10-01,85.81
2018-10-02,86.46
2018-10-03,86.15
2018-10-04,85.58
2018-10-05,85.34
2018-10-08,86.13
2018-10-09,86.51
2018-10-10,84.52
2018-10-11,81.6
2018-10-12,81.38
2018-10-15,80.82
2018-10-16,81.2
2018-10-17,81.5
2018-10-18,81.85
2018-10-19,81.97
2018-10-22,81.15
2018-10-23,79.84
2018-10-24,77.62
2018-10-25,78.31
2018-10-26,77.53
2018-10-29,77.05
2018-10-30,78.78
2018-10-31,79.68
2018-11-01,80.67
2018-11-02,81.95
2018-11-05,81.64
2018-11-06,81.99
2018-11-07,83.03
2018-11-08,81.71
2018-11-09,80.87
2018-11-12,79.83
2018-11-13,78
2018-11-14,77.39
2018-11-15,78.19
2018-11-16,78.96
2018-11-19,79.22
2018-11-20,76.97
2018-11-21,77.56
2018-11-23,75.49
2018-11-26,76.98
2018-11-27,77.05
2018-11-28,78.45
2018-11-29,79.06
2018-11-30,79.5
2018-12-03,81.22
2018-12-04,79.43
2018-12-06,78.39
2018-12-07,77.64
2018-12-10,76.54
2018-12-11,76.68
2018-12-12,76.02
2018-12-13,76.98
2018-12-14,75.58
2018-12-17,74.04
2018-12-18,72
2018-12-19,70.78
2018-12-20,68.63
2018-12-21,68.12
2018-12-24,65.51
2018-12-26,68.64
2018-12-27,68.94
2018-12-28,68.17
2018-12-31,68.19
2019-01-02,69.69
2019-01-03,68.62
2019-01-04,71.15
2019-01-07,71.52
2019-01-08,72.04
2019-01-09,72.42
2019-01-10,72.05
2019-01-11,71.72
2019-01-14,71.63
2019-01-15,71.67
2019-01-16,71.64
2019-01-17,72.13
2019-01-18,72.99
2019-01-22,71.89
2019-01-23,71.3
2019-01-24,71.4
2019-01-25,71.72
2019-01-28,71.24
2019-01-29,71.51
2019-01-30,72.29
2019-01-31,73.28
2019-02-01,75.92
2019-02-04,74.82
2019-02-05,75.59
2019-02-06,75.26
2019-02-07,74.68
2019-02-08,73.98
2019-02-11,74.1
2019-02-12,75.4
2019-02-13,76.25
2019-02-14,76.27
2019-02-15,77.71
2019-02-19,78.23
2019-02-20,78.53
2019-02-21,77.82
2019-02-22,78.42
2019-02-25,78.5
2019-02-26,78.66
2019-02-27,79.47
2019-02-28,79.03
2019-03-01,80
2019-03-04,80.31
2019-03-05,80.19
2019-03-06,79.28
2019-03-07,80.16
2019-03-08,79.01
2019-03-11,79.78
2019-03-12,80
2019-03-13,80.71
2019-03-14,80.44
2019-03-15,80.15
2019-03-18,81.08
2019-03-19,80.87
2019-03-20,81.32
2019-03-21,81.79
2019-03-22,80.48
2019-03-25,79.92
2019-03-26,80.96
2019-03-27,80.34
2019-03-28,80.74
2019-03-29,80.8
2019-04-01,81.73
2019-04-02,81.38
2019-04-03,80.9
2019-04-04,82.05
2019-04-05,82.49
2019-04-08,83
2019-04-09,81.93
2019-04-10,81.56
2019-04-11,81.95
2019-04-12,80.92
2019-04-15,80.65
2019-04-16,81.2
2019-04-17,81.43
2019-04-18,81.13
2019-04-22,82.9
2019-04-23,83.38
2019-04-24,81.76
2019-04-25,82.22
2019-04-26,80.49
2019-04-29,79.97
2019-04-30,80.28
2019-05-01,78.67
2019-05-02,77.29
2019-05-03,77.47
2019-05-06,77.13
2019-05-07,76.72
2019-05-08,76.84
2019-05-09,76.77
2019-05-10,76.56
2019-05-13,75.71
2019-05-14,75.81
2019-05-15,76.37
2019-05-16,76.36
2019-05-17,75.91
2019-05-20,75.9
2019-05-21,76.25
2019-05-22,75.56
2019-05-23,73.79
2019-05-24,74.1
2019-05-28,72.61
2019-05-29,72.16
2019-05-30,71.97
2019-05-31,70.77
2019-06-03,71.88
2019-06-04,73.59
2019-06-05,72.98
2019-06-06,74.31
2019-06-07,74.58
2019-06-10,74.91
2019-06-11,74.84
2019-06-12,74.03
2019-06-13,74.68
2019-06-14,74.35
2019-06-17,75.09
2019-06-18,75.74
2019-06-19,75.32
2019-06-20,76.61
2019-06-21,77.69
2019-06-24,76.95
2019-06-25,76.27
2019-06-26,76.6
2019-06-27,75.82
2019-06-28,76.63
2019-07-01,76.56
2019-07-02,75.72
2019-07-03,76.44
2019-07-05,76.13
2019-07-08,76.48
2019-07-09,76.43
2019-07-10,77.51
2019-07-11,77.57
2019-07-12,77.63
2019-07-15,77.08
2019-07-16,75.93
2019-07-17,75.48
2019-07-18,74.84
2019-07-19,74.99
2019-07-22,75.07
2019-07-23,75.37
2019-07-24,75.36
2019-07-25,74.93
2019-07-26,74.81
2019-07-29,75.34
2019-07-30,75.35
2019-07-31,74.36
2019-08-01,72.46
2019-08-02,71.75
2019-08-05,70.28
2019-08-06,70.96
2019-08-07,70.5
2019-08-08,72.38
2019-08-09,70.84
2019-08-12,69.63
2019-08-13,70.49
2019-08-14,67.65
2019-08-15,67.25
2019-08-16,68.3
2019-08-19,69.45
2019-08-20,69.03
2019-08-21,69.72
2019-08-22,69.57
2019-08-23,67.49
2019-08-26,67.85
2019-08-27,67.19
2019-08-28,67.68
2019-08-29,68.43
2019-08-30,68.48
2019-09-03,68.56
2019-09-04,69.29
2019-09-05,70.27
2019-09-06,70.93
2019-09-09,71.49
2019-09-10,72.07
2019-09-11,71.93
2019-09-12,71.98
2019-09-13,72.64
2019-09-16,73.73
2019-09-17,73.17
2019-09-18,72.82
2019-09-19,72.33
2019-09-20,72.08
2019-09-23,72.13
2019-09-24,71.14
2019-09-25,71.35
2019-09-26,70.97
2019-09-27,71.48
